Date,Open,High,Low,Close,Volume
2023-11-07,64473.54850697309,64692.103546576116,64036.445954803814,64327.84765625,1772412
2023-11-08,64254.9972463492,67460.4609375,64109.28887708865,67460.4609375,5503052
2023-11-09,67023.34572147722,67970.41241354358,66877.64489047526,67387.6015625,3981781
2023-11-10,66659.09375,67533.30631379536,66513.38538350395,66659.09375,3905077
2023-11-13,66731.93520309952,67023.34438633415,65930.56935799879,66586.234375,2657562
2023-11-14,67023.350883791,68043.2718334332,66513.38664545176,67460.4609375,2946925
2023-11-15,68261.8242559148,68334.67091072946,67023.34832666932,67314.75,3900448
2023-11-16,67169.0407617017,67751.8515625,66731.9307793442,67751.8515625,3248589
2023-11-17,68043.26824769685,68116.11490145193,66003.42645590781,66294.828125,5093342
2023-11-20,65639.17121526867,67460.45800862525,64910.65198170442,66076.28125,2928806
2023-11-21,67023.34636722077,67023.34636722077,66076.2796660298,66950.4921875,2186619
2023-11-22,66950.48577052295,67824.70573523795,66950.48577052295,67751.8515625,4488960
2023-11-23,67970.41171338876,68261.82089942666,66149.125,66149.125,3480157
2023-11-24,66149.12985507387,67023.34995031604,65712.01980745277,66440.5390625,3307438
2023-11-27,66586.23793916257,66586.23793916257,65639.17121526867,66076.28125,2885428
2023-11-28,66149.13246755788,66950.49841083349,65493.467370231505,66367.6875,4176188
2023-11-29,66731.94268925948,67023.35190518513,66367.68681462973,66804.796875,1236271
2023-11-30,66586.23634296776,68261.82226025904,66513.38216324699,66950.4921875,3769255
2023-12-01,67169.04916333465,67679.01338221741,66513.38410778657,67314.75,2480105
2023-12-04,67460.45705378319,68480.37794470826,67460.45705378319,68188.96875,4862040
2023-12-05,68334.67602062438,69791.70707733902,68261.82936036245,69063.1953125,4855821
2023-12-06,69208.890625,69500.29982385179,68553.2255728605,69208.890625,2785315
2023-12-07,69281.7484009046,69427.44924437164,67606.16235640614,68698.9375,6666629
2023-12-08,68698.93230474222,69281.7431615726,68116.11392087604,68626.078125,2597613
2023-12-11,69573.14647828773,69718.84731419562,68917.48142614822,69208.890625,2409328
2023-12-12,69500.29759186308,70520.2109375,69427.44341273083,70520.2109375,7013331
2023-12-13,70957.31758595305,70957.31758595305,69354.5859375,69354.5859375,6207110
2023-12-14,69791.70018163485,70228.81020816464,69354.59015510505,70083.109375,8102738
2023-12-15,70083.109375,70155.9560280644,69208.8893219404,70083.109375,3159981
